Time,Omega,Omega,Omega,Omega,AxlTrq,BrkPrs
0,0,0,0,0,10,0
0.01,0.1351342,0,0,0,10,0
0.02,0.2702666,0,0,0,10,0
0.03,0.4053972,0,0,0,10,0
0.04,0.5405259,0,0,0,10,0
0.05,0.6756528,0,0,0,10,0
0.06,0.8107779,0,0,0,10,0
0.07,0.9459012,0,0,0,10,0
0.08,1.081023,0,0,0,10,0
0.09,1.216142,0,0,0,10,0
0.1,1.35126,0,0,0,10,0
0.11,1.486376,0,0,0,10,0
0.12,1.62149,0,0,0,10,0
0.13,1.756602,0,0,0,10,0
0.14,1.891713,0,0,0,10,0
0.15,2.026822,0,0,0,10,0
0.16,2.161928,0,0,0,10,0
0.17,2.297033,0,0,0,10,0
0.18,2.432137,0,0,0,10,0
0.19,2.567238,0,0,0,10,0
0.2,2.702338,0,0,0,10,0
0.21,2.837435,0,0,0,10,0
0.22,2.972531,0,0,0,10,0
0.23,3.107625,0,0,0,10,0
0.24,3.242717,0,0,0,10,0
0.25,3.377808,0,0,0,10,0
0.26,3.512896,0,0,0,10,0
0.27,3.647983,0,0,0,10,0
0.28,3.783068,0,0,0,10,0
0.29,3.918151,0,0,0,10,0
0.3,4.053232,0,0,0,10,0
0.31,4.188312,0,0,0,10,0
0.32,4.323389,0,0,0,10,0
0.33,4.458465,0,0,0,10,0
0.34,4.593539,0,0,0,10,0
0.35,4.728611,0,0,0,10,0
0.36,4.863682,0,0,0,10,0
0.37,4.99875,0,0,0,10,0
0.38,5.133817,0,0,0,10,0
0.39,5.268882,0,0,0,10,0
0.4,5.403945,0,0,0,10,0
0.41,5.539006,0,0,0,10,0
0.42,5.674065,0,0,0,10,0
0.43,5.809123,0,0,0,10,0
0.44,5.944179,0,0,0,10,0
0.45,6.079232,0,0,0,10,0
0.46,6.214285,0,0,0,10,0
0.47,6.349335,0,0,0,10,0
0.48,6.484383,0,0,0,10,0
0.49,6.61943,0,0,0,10,0
0.5,6.754475,0,0,0,10,0
0.51,6.889518,0,0,0,10,0
0.52,7.024559,0,0,0,10,0
0.53,7.159598,0,0,0,10,0
0.54,7.294635,0,0,0,10,0
0.55,7.429671,0,0,0,10,0
0.56,7.564705,0,0,0,10,0
0.57,7.699737,0,0,0,10,0
0.58,7.834767,0,0,0,10,0
0.59,7.969795,0,0,0,10,0
0.6,8.104822,0,0,0,10,0
0.61,8.239847,0,0,0,10,0
0.62,8.374869,0,0,0,10,0
0.63,8.509891,0,0,0,10,0
0.64,8.64491,0,0,0,10,0
0.65,8.779927,0,0,0,10,0
0.66,8.914943,0,0,0,10,0
0.67,9.049956,0,0,0,10,0
0.68,9.184968,0,0,0,10,0
0.69,9.319979,0,0,0,10,0
0.7,9.454987,0,0,0,10,0
0.71,9.589993,0,0,0,10,0
0.72,9.724998,0,0,0,10,0
0.73,9.860001,0,0,0,10,0
0.74,9.995002,0,0,0,10,0
0.75,10.13,0,0,0,10,0
0.76,10.265,0,0,0,10,0
0.77,10.39999,0,0,0,10,0
0.78,10.53499,0,0,0,10,0
0.79,10.66998,0,0,0,10,0
0.8,10.80497,0,0,0,10,0
0.81,10.93996,0,0,0,10,0
0.82,11.07494,0,0,0,10,0
0.83,11.20993,0,0,0,10,0
0.84,11.34491,0,0,0,10,0
0.85,11.47989,0,0,0,10,0
0.86,11.61487,0,0,0,10,0
0.87,11.74985,0,0,0,10,0
0.88,11.88482,0,0,0,10,0
0.89,12.0198,0,0,0,10,0
0.9,12.15477,0,0,0,10,0
0.91,12.28974,0,0,0,10,0
0.92,12.42471,0,0,0,10,0
0.93,12.55967,0,0,0,10,0
0.94,12.69464,0,0,0,10,0
0.95,12.8296,0,0,0,10,0
0.96,12.96456,0,0,0,10,0
0.97,13.09952,0,0,0,10,0
0.98,13.23448,0,0,0,10,0
0.99,13.36943,0,0,0,10,0
1,13.50439,0,0,0,10,0
1.01,13.63934,0,0,0,10,0
1.02,13.77429,0,0,0,10,0
1.03,13.90924,0,0,0,10,0
1.04,14.04418,0,0,0,10,0
1.05,14.17913,0,0,0,10,0
1.06,14.31407,0,0,0,10,0
1.07,14.44901,0,0,0,10,0
1.08,14.58395,0,0,0,10,0
1.09,14.71889,0,0,0,10,0
1.1,14.85382,0,0,0,10,0
1.11,14.98876,0,0,0,10,0
1.12,15.12369,0,0,0,10,0
1.13,15.25862,0,0,0,10,0
1.14,15.39355,0,0,0,10,0
1.15,15.52847,0,0,0,10,0
1.16,15.6634,0,0,0,10,0
1.17,15.79832,0,0,0,10,0
1.18,15.93324,0,0,0,10,0
1.19,16.06816,0,0,0,10,0
1.2,16.20308,0,0,0,10,0
1.21,16.33799,0,0,0,10,0
1.22,16.4729,0,0,0,10,0
1.23,16.60782,0,0,0,10,0
1.24,16.74273,0,0,0,10,0
1.25,16.87763,0,0,0,10,0
1.26,17.01254,0,0,0,10,0
1.27,17.14744,0,0,0,10,0
1.28,17.28235,0,0,0,10,0
1.29,17.41725,0,0,0,10,0
1.3,17.55215,0,0,0,10,0
1.31,17.68704,0,0,0,10,0
1.32,17.82194,0,0,0,10,0
1.33,17.95683,0,0,0,10,0
1.34,18.09172,0,0,0,10,0
1.35,18.22661,0,0,0,10,0
1.36,18.3615,0,0,0,10,0
1.37,18.49639,0,0,0,10,0
1.38,18.63127,0,0,0,10,0
1.39,18.76615,0,0,0,10,0
1.4,18.90103,0,0,0,10,0
1.41,19.03591,0,0,0,10,0
1.42,19.17079,0,0,0,10,0
1.43,19.30566,0,0,0,10,0
1.44,19.44054,0,0,0,10,0
1.45,19.57541,0,0,0,10,0
1.46,19.71028,0,0,0,10,0
1.47,19.84515,0,0,0,10,0
1.48,19.98001,0,0,0,10,0
1.49,20.11488,0,0,0,10,0
1.5,20.24974,0,0,0,10,0
1.51,20.3846,0,0,0,10,0
1.52,20.51946,0,0,0,10,0
1.53,20.65432,0,0,0,10,0
1.54,20.78917,0,0,0,10,0
1.55,20.92402,0,0,0,10,0
1.56,21.05888,0,0,0,10,0
1.57,21.19373,0,0,0,10,0
1.58,21.32857,0,0,0,10,0
1.59,21.46342,0,0,0,10,0
1.6,21.59826,0,0,0,10,0
1.61,21.73311,0,0,0,10,0
1.62,21.86795,0,0,0,10,0
1.63,22.00279,0,0,0,10,0
1.64,22.13762,0,0,0,10,0
1.65,22.27246,0,0,0,10,0
1.66,22.40729,0,0,0,10,0
1.67,22.54212,0,0,0,10,0
1.68,22.67695,0,0,0,10,0
1.69,22.81178,0,0,0,10,0
1.7,22.94661,0,0,0,10,0
1.71,23.08143,0,0,0,10,0
1.72,23.21625,0,0,0,10,0
1.73,23.35107,0,0,0,10,0
1.74,23.48589,0,0,0,10,0
1.75,23.62071,0,0,0,10,0
1.76,23.75552,0,0,0,10,0
1.77,23.89034,0,0,0,10,0
1.78,24.02515,0,0,0,10,0
1.79,24.15996,0,0,0,10,0
1.8,24.29476,0,0,0,10,0
1.81,24.42957,0,0,0,10,0
1.82,24.56437,0,0,0,10,0
1.83,24.69918,0,0,0,10,0
1.84,24.83398,0,0,0,10,0
1.85,24.96878,0,0,0,10,0
1.86,25.10357,0,0,0,10,0
1.87,25.23837,0,0,0,10,0
1.88,25.37316,0,0,0,10,0
1.89,25.50795,0,0,0,10,0
1.9,25.64274,0,0,0,10,0
1.91,25.77753,0,0,0,10,0
1.92,25.91232,0,0,0,10,0
1.93,26.0471,0,0,0,10,0
1.94,26.18188,0,0,0,10,0
1.95,26.31666,0,0,0,10,0
1.96,26.45144,0,0,0,10,0
1.97,26.58622,0,0,0,10,0
1.98,26.72099,0,0,0,10,0
1.99,26.85577,0,0,0,10,0
2,26.99054,0,0,0,10,0
2.01,27.12531,0,0,0,10,0
2.02,27.26007,0,0,0,10,0
2.03,27.39484,0,0,0,10,0
2.04,27.5296,0,0,0,10,0
2.05,27.66437,0,0,0,10,0
2.06,27.79913,0,0,0,10,0
2.07,27.93389,0,0,0,10,0
2.08,28.06864,0,0,0,10,0
2.09,28.2034,0,0,0,10,0
2.1,28.33815,0,0,0,10,0
2.11,28.4729,0,0,0,10,0
2.12,28.60765,0,0,0,10,0
2.13,28.7424,0,0,0,10,0
2.14,28.87714,0,0,0,10,0
2.15,29.01189,0,0,0,10,0
2.16,29.14663,0,0,0,10,0
2.17,29.28137,0,0,0,10,0
2.18,29.41611,0,0,0,10,0
2.19,29.55085,0,0,0,10,0
2.2,29.68558,0,0,0,10,0
2.21,29.82031,0,0,0,10,0
2.22,29.95504,0,0,0,10,0
2.23,30.08977,0,0,0,10,0
2.24,30.2245,0,0,0,10,0
2.25,30.35923,0,0,0,10,0
2.26,30.49395,0,0,0,10,0
2.27,30.62867,0,0,0,10,0
2.28,30.76339,0,0,0,10,0
2.29,30.89811,0,0,0,10,0
2.3,31.03283,0,0,0,10,0
2.31,31.16754,0,0,0,10,0
2.32,31.30226,0,0,0,10,0
2.33,31.43697,0,0,0,10,0
2.34,31.57168,0,0,0,10,0
2.35,31.70639,0,0,0,10,0
2.36,31.84109,0,0,0,10,0
2.37,31.9758,0,0,0,10,0
2.38,32.1105,0,0,0,10,0
2.39,32.2452,0,0,0,10,0
2.4,32.3799,0,0,0,10,0
2.41,32.51459,0,0,0,10,0
2.42,32.64929,0,0,0,10,0
2.43,32.78398,0,0,0,10,0
2.44,32.91867,0,0,0,10,0
2.45,33.05336,0,0,0,10,0
2.46,33.18805,0,0,0,10,0
2.47,33.32273,0,0,0,10,0
2.48,33.45742,0,0,0,10,0
2.49,33.5921,0,0,0,10,0
2.5,33.72678,0,0,0,10,0
2.51,33.86146,0,0,0,10,0
2.52,33.99614,0,0,0,10,0
2.53,34.13081,0,0,0,10,0
2.54,34.26548,0,0,0,10,0
2.55,34.40015,0,0,0,10,0
2.56,34.53482,0,0,0,10,0
2.57,34.66949,0,0,0,10,0
2.58,34.80416,0,0,0,10,0
2.59,34.93882,0,0,0,10,0
2.6,35.07348,0,0,0,10,0
2.61,35.20814,0,0,0,10,0
2.62,35.3428,0,0,0,10,0
2.63,35.47746,0,0,0,10,0
2.64,35.61211,0,0,0,10,0
2.65,35.74677,0,0,0,10,0
2.66,35.88142,0,0,0,10,0
2.67,36.01607,0,0,0,10,0
2.68,36.15071,0,0,0,10,0
2.69,36.28536,0,0,0,10,0
2.7,36.42,0,0,0,10,0
2.71,36.55465,0,0,0,10,0
2.72,36.68929,0,0,0,10,0
2.73,36.82392,0,0,0,10,0
2.74,36.95856,0,0,0,10,0
2.75,37.0932,0,0,0,10,0
2.76,37.22783,0,0,0,10,0
2.77,37.36246,0,0,0,10,0
2.78,37.49709,0,0,0,10,0
2.79,37.63172,0,0,0,10,0
2.8,37.76634,0,0,0,10,0
2.81,37.90097,0,0,0,10,0
2.82,38.03559,0,0,0,10,0
2.83,38.17021,0,0,0,10,0
2.84,38.30483,0,0,0,10,0
2.85,38.43944,0,0,0,10,0
2.86,38.57406,0,0,0,10,0
2.87,38.70867,0,0,0,10,0
2.88,38.84328,0,0,0,10,0
2.89,38.97789,0,0,0,10,0
2.9,39.1125,0,0,0,10,0
2.91,39.24711,0,0,0,10,0
2.92,39.38171,0,0,0,10,0
2.93,39.51631,0,0,0,10,0
2.94,39.65091,0,0,0,10,0
2.95,39.78551,0,0,0,10,0
2.96,39.92011,0,0,0,10,0
2.97,40.0547,0,0,0,10,0
2.98,40.18929,0,0,0,10,0
2.99,40.32389,0,0,0,10,0
3,40.45847,0,0,0,10,100000
3.01,40.4052,0,0,0,0,100000
3.02,40.2168,0,0,0,0,100000
3.03,40.0284,0,0,0,0,100000
3.04,39.84,0,0,0,0,100000
3.05,39.65161,0,0,0,0,100000
3.06,39.46321,0,0,0,0,100000
3.07,39.27482,0,0,0,0,100000
3.08,39.08643,0,0,0,0,100000
3.09,38.89805,0,0,0,0,100000
3.1,38.70966,0,0,0,0,100000
3.11,38.52128,0,0,0,0,100000
3.12,38.33291,0,0,0,0,100000
3.13,38.14453,0,0,0,0,100000
3.14,37.95616,0,0,0,0,100000
3.15,37.76779,0,0,0,0,100000
3.16,37.57942,0,0,0,0,100000
3.17,37.39105,0,0,0,0,100000
3.18,37.20269,0,0,0,0,100000
3.19,37.01433,0,0,0,0,100000
3.2,36.82597,0,0,0,0,100000
3.21,36.63762,0,0,0,0,100000
3.22,36.44927,0,0,0,0,100000
3.23,36.26092,0,0,0,0,100000
3.24,36.07257,0,0,0,0,100000
3.25,35.88422,0,0,0,0,100000
3.26,35.69588,0,0,0,0,100000
3.27,35.50754,0,0,0,0,100000
3.28,35.3192,0,0,0,0,100000
3.29,35.13087,0,0,0,0,100000
3.3,34.94254,0,0,0,0,100000
3.31,34.75421,0,0,0,0,100000
3.32,34.56588,0,0,0,0,100000
3.33,34.37756,0,0,0,0,100000
3.34,34.18923,0,0,0,0,100000
3.35,34.00091,0,0,0,0,100000
3.36,33.8126,0,0,0,0,100000
3.37,33.62428,0,0,0,0,100000
3.38,33.43597,0,0,0,0,100000
3.39,33.24766,0,0,0,0,100000
3.4,33.05935,0,0,0,0,100000
3.41,32.87105,0,0,0,0,100000
3.42,32.68275,0,0,0,0,100000
3.43,32.49445,0,0,0,0,100000
3.44,32.30615,0,0,0,0,100000
3.45,32.11786,0,0,0,0,100000
3.46,31.92957,0,0,0,0,100000
3.47,31.74128,0,0,0,0,100000
3.48,31.55299,0,0,0,0,100000
3.49,31.36471,0,0,0,0,100000
3.5,31.17643,0,0,0,0,100000
3.51,30.98815,0,0,0,0,100000
3.52,30.79987,0,0,0,0,100000
3.53,30.6116,0,0,0,0,100000
3.54,30.42333,0,0,0,0,100000
3.55,30.23506,0,0,0,0,100000
3.56,30.04679,0,0,0,0,100000
3.57,29.85853,0,0,0,0,100000
3.58,29.67027,0,0,0,0,100000
3.59,29.48201,0,0,0,0,100000
3.6,29.29375,0,0,0,0,100000
3.61,29.1055,0,0,0,0,100000
3.62,28.91725,0,0,0,0,100000
